作成テーマ,カテゴリ,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,対象級,義雄さんメモ
秋,生活,秋になると「洗濯日和」が増える理由として、正しいのは？,湿度が低く、からっと晴れる日が増えるから,一日中雨が続くから,風が全く吹かないから,太陽が出ないから,A,秋は移動性高気圧に覆われた日が多く、湿度も低いため洗濯物がよく乾きます。,,
秋,文化,秋の気圧配置の特徴として、「一雨ごとに…」と言われるのはどんな変化でしょう？,一雨ごとに夏に戻る,一雨ごとに涼しく（寒く）なる,一雨ごとに台風が増える,一雨ごとに日が長くなる,B,秋は一つの低気圧や前線が通過するたびに季節が進み、涼しくなっていくと言われます。,,
秋,文化,「秋の空は高い」と言われる主な理由として近いのは？,雲が全くできないから,夏より上空の湿気が少なく、雲が薄く見えるから,地球が小さくなるから,太陽が低くなるから,B,湿度が下がり、巻雲や巻積雲などの高い雲が目立つことで、空が高く感じられます。,,
秋,生活,秋に農作物の収穫が多い「実りの秋」となりますが、天候不順だと特に影響を受けやすいのは？,ネットの通信速度,農作物の生育・品質,電車の速度,太陽の色,B,長雨や台風の多い年は、稲や果物などの生育や収穫に大きな影響が出ることがあります。,,
秋,生活,気象庁の「旬予報」（10日間単位）や「1か月予報」が秋にも役立つ場面として適切なのは？,今日の服装だけを決めるとき,来年の天気を知りたいとき,秋の旅行やイベントの日程決め・服装傾向を考えるとき,地震の発生日を当てたいとき,C,1か月予報などは、具体的な日ではなく「暑い傾向」「雨が多い傾向」などを知るのに役立ちます。,,
秋,防災,秋に「山の天気」は平地よりも変わりやすいと言われます。その主な理由の一つは？,山では前線ができないから,山の上空は風や気温の変化が大きいから,山は海に近いから,山には雲ができないから,B,山は高度が高く、気温や風向・風速が変わりやすく、雲も発生しやすいため天気の変化が大きくなります。,,
秋,防災,秋の台風接近時、「高潮」による被害が心配されるのはどんなときでしょう？,気圧が高いとき,満潮の時刻と台風接近が重なるとき,乾燥しているとき,雪が降るとき,B,台風による海面の上昇と満潮が重なると、潮位がさらに高くなり、沿岸で浸水被害が出やすくなります。,,
秋,防災,秋の終わりに「初霜」「初氷」が観測されることがありますが、特に影響しやすい分野は？,水道や農作物,インターネット回線,携帯電話の電波,地震計,A,冷え込みで水道管の凍結や農作物の霜害が起きることがあり、注意が必要です。,,
秋,生活,秋になると「防寒グッズの準備を」と天気予報で呼びかけられることがあります。これはどんな情報を踏まえたコメントでしょう？,来年の天気,長期予報や一時的な寒気の南下,地震の予測,海水浴情報,B,1か月予報や寒気の予想などから、急に季節が進むタイミングを伝えています。,,
秋,知識,秋は「台風の進路予報」において、どの点が特に難しいとされることがありますか？,全く変化しないから簡単,偏西風に乗って進路が大きく曲がるため,北極の氷の量,地震の発生状況,B,秋は台風が偏西風に乗って進路を急に変えたり、加速したりするため、進路の予測が難しくなることがあります。,,
秋,生活,秋の夜長に星を観察するとき、天気予報で特にチェックしておきたい要素は？,風速と気圧だけ,雲量・雲の高さ,海水温,地震情報,B,雲が少ないほど星がよく見えるので、雲量や上空の雲の有無を確認すると良いです。,,
秋,生活,秋の天気予報で「湿度40％前後でカラッとした陽気」と言われたときの体感に近いのは？,ベタベタとした蒸し暑さ,じっとしていても汗が止まらない,さわやかで汗が引きやすい,吐く息が白くなるほどの寒さ,C,湿度が低いと汗が蒸発しやすく、さわやかに感じます。,,
秋,防災,秋に「雷注意報」が出ることがありますが、大気の状態がどのようなときに雷が起きやすいでしょう？,大気の状態が安定しているとき,大気の状態が不安定なとき,全く雲がないとき,海が凍っているとき,B,上空に寒気が入るなどして、大気が不安定になると雷雲が発達しやすくなります。,,
秋,知識,秋に「熱帯夜」が少なくなる理由として正しいのは？,太陽の高さが低くなり、昼間の気温があまり上がらなくなるから,太陽が近づくから,海水温が一気に上がるから,雨が降らなくなるから,A,日照時間が短くなり、太陽高度も低くなるため、夏ほど夜間の気温が下がりにくい状況が減ってきます。,,
秋,知識,秋に発表される「初冠雪」は、どのような現象を指す観測でしょうか？,初めて雹が降った日,山頂が初めて雪で白く見えた日,平地で初めて霜が降りた日,雨が初めて降った日,B,特定の山（例：富士山など）で山頂が初めて雪で白くなって見えた日を「初冠雪」として発表します。,,
秋,生活,気象庁の「週間天気予報」で、秋の行楽の予定を立てるときに、まずチェックしたい項目の組み合わせとして適切なのは？,最高気温・最低気温・降水確率,地震回数・津波高,海水浴情報・花粉情報,火山噴火警戒レベルだけ,A,秋は気温差と雨がポイントなので、最高・最低気温と降水確率をセットで見ると予定が立てやすくなります。,,
秋,知識,気象庁の天気予報で表示される「降水確率20％」はどんな意味でしょう？,20分だけ雨が降る,20mmの雨が降る,予報対象時間帯のどこかで、雨が降る可能性が20％,20人に1人だけ雨に当たる,C,降水確率は「その時間帯のどこかで1mm以上の雨が降る可能性」を％で示しています。,,
秋,知識,気象庁の天気予報地図で、秋に多い「晴れ一時雨」マークは、どのような天気傾向を表しているでしょう？,雨だけ,一日中快晴,晴れが主体だが、にわか雨の時間帯がある,雷だけ鳴る,C,基本は晴れですが、短時間の雨がありそうな場合に使われます。,,
秋,知識,気象庁の予想気温にある「平年差」の＋2℃などは、何と比べている数値でしょう？,世界の平均気温,昨日の気温,その地点の過去30年平均の気温,海水温,C,「平年」とは過去30年平均のことで、それより何度高い・低いかを示します。,,
秋,生活,気象庁の「1か月予報」で『気温は平年並みか高い』と出たとき、秋の服装計画でのイメージとして近いのは？,真冬並みに寒くなる,平年通り〜少し暖かめの日が多い,冷夏になる,1か月ずっと猛暑日,B,平年と同じくらいか、やや高めの日が多い傾向を示しています。,,
秋,生活,気象庁ホームページの「雨雲の動き（高解像度降水ナウキャスト）」は、秋のどんなシーンに役立つでしょう？,紅葉狩り中の短時間の雨のタイミング確認,来年の紅葉時期の予想,春の花粉量の予想,地震発生確率の予想,A,1〜数時間先までの雨雲の動きを確認できるので、外出中の雨のかかわしに便利です。,,
秋,防災,「雨雲の動き」図で、色が濃い（赤やピンクに近い）部分は、何を意味しているでしょう？,雲がない,弱い雨,強い雨・非常に激しい雨,雪だけ,C,色が濃くなるほど、降っている雨の強さが強いことを表しています。,,
秋,知識,気象庁の「アメダス（地域気象観測システム）」で確認できる代表的なデータとして正しいのは？,地震のマグニチュード,気温・降水量・風向・風速など,携帯電話の圏外率,電車の運行状況,B,アメダスでは全国各地の実際の観測値をリアルタイムで見ることができます。,,
秋,生活,秋の朝、アメダスの気温データを見るとき、冷え込みの程度を知るポイントとして適切なのは？,昼の気温だけ見る,前日同時刻との気温差,海水温との差,風速だけを見る,B,「きのうの同じ時間と比べて何度違うか」を見ると、体感の変化をイメージしやすくなります。,,
秋,知識,気象庁の「秋の気温偏差図」を見るとき、日本地図で赤色が多い場合は何を意味しますか？,平年より気温が高い場所が多い,平年より気温が低い場所が多い,雨が多い,風が強い,A,赤は平年より高い、青は平年より低い傾向を示すことが多いです。,,
秋,防災,気象庁が出す「注意報」と「警報」の違いとして、より近い説明は？,注意報は良い天気、警報は悪い天気,注意報は災害が起こりうる、警報は重大な災害の危険が高まった状態,注意報は気温だけ、警報は風だけ,注意報の方が危険度が高い,B,警報の方が危険度が高く、より厳重な警戒を呼びかける情報です。,,
秋,防災,秋の大雨のときに特に確認したい気象庁の情報として、より適切なのは？,花粉情報,大雨警報・土砂災害警戒情報,黄砂情報,紫外線情報,B,秋雨前線や台風による大雨では、土砂災害警戒情報など防災情報の確認が重要です。,,
秋,防災,気象庁の台風情報の「実況」欄で確認できる主な項目として正しいのは？,台風の中心位置・中心気圧・最大風速など,世界の平均気温,地震の震度分布,花粉の量,A,現在の台風の強さや位置、動きがわかります。,,
秋,防災,台風シーズンの秋、気象庁の「台風進路図」を見るとき、特に注意したい点は？,予報円の大きさと進む向き,台風の名前のかっこよさ,予報士の人数,海の透明度,A,予報円がかかる範囲に自分の地域が入るか、いつ頃近づきそうかを確認します。,,
秋,知識,気象庁の天気予報で「予報の信頼度 A・B・C」と表示されることがあります。秋の旅行計画で意味を知っておくと便利ですが、「C」はどんな意味に近いでしょう？,ほぼ確実,やや確からしい,予報がまだかなり変わる可能性がある,外れることはない,C,Cは「低い」信頼度で、予報が大きく変わる可能性があることを示します。,,
秋,防災,気象庁の「雷ナウキャスト」は秋にも利用できますが、何時間先までの雷の可能性を見られる情報でしょう？（概念レベルで）,数分先,数時間先（おおむね1〜2時間先）,1週間先,1年先,B,短時間先の雷発生の可能性を地図上で確認できます。,,
秋,防災,気象庁ホームページの「防災情報」欄で、秋に山や川へ出かける前にチェックしておきたい情報として最も適切なのは？,大雨警報・洪水警報・土砂災害警戒情報,花粉情報,紫外線指数だけ,桜の開花状況,A,川の増水や斜面の崩壊などの危険度を知るために重要です。,,
秋,知識,気象庁の天気予報でよく出てくる「気圧の谷」とは何を指す言葉でしょう？,山の谷間,気圧が周りより低くなっている帯状の部分,台風の目,海のくぼみ,B,低気圧ほどははっきりしていないものの、気圧が低い帯で、雲や雨のもとになります。,,
秋,知識,気象庁の「天気図」で、青い三角が並んだ記号は何を表しているでしょう？,温暖前線,寒冷前線,停滞前線,台風の進行方向,B,青い三角は寒冷前線を表し、前線通過時には天気が変わりやすくなります。,,
秋,知識,同じく天気図で、赤い半円が並んだ記号は？,温暖前線,寒冷前線,低気圧の中心,高気圧の中心,A,赤い半円は温暖前線で、曇りや雨が長く続くことがあります。,,
秋,知識,天気図に「高」と表示されるのは高気圧、「低」と表示されるのは低気圧です。秋晴れの日に日本付近で多いのは？,「低」がど真ん中にある,「高」が日本列島を覆っている,何もない,「台」が常にある,B,移動性高気圧にすっぽり覆われると、秋晴れになりやすいです。,,
秋,知識,気象庁ホームページで「実況天気図（地上）」と「予想天気図」を見るときの違いとして正しいのは？,実況は今の状態、予想は将来の状態,実況は来年の状態,予想は過去の状態,両方まったく同じ,A,実況は現在の気圧配置、予想は数時間〜数十時間先の気圧配置を示します。,,
秋,知識,気象庁の天気予報で「晴れ時々曇り」と「曇り時々晴れ」の違いは何でしょう？,どちらも全く同じ,前に書いてある天気の方が出現時間が長い,後ろに書いてある天気の方が長い,占いで決めている,B,「晴れ時々曇り」は晴れが主体、「曇り時々晴れ」は曇りが主体のイメージです。,,
秋,生活,気象庁の「紫外線情報」は春夏に注目されがちですが、秋に見ておくとよい理由として正しいのは？,秋は紫外線がゼロになるから,秋も晴れた日はそれなりに紫外線が強く、油断しやすいから,紫外線情報で雨がわかるから,紫外線情報で台風の数がわかるから,B,真夏ほどではありませんが、秋も日焼けや肌トラブルに注意が必要な日があります。,,
秋,知識,気象庁の「天気予報の発表時間」を知っておくと便利な理由として適切なのは？,予報がいつ更新された情報なのか把握できる,地震速報と混同できる,予報士の人数がわかる,雨量が倍になる,A,発表時間を見ることで、「どれくらい新しい情報か」を判断できます。,,
秋,生活,気象庁のサイトで「過去の気象データ」を見ると、秋の気温や雨の傾向がわかります。これが役立つのはどんなとき？,来週の天気をピンポイントで当てたいとき,秋のイベントの時期設定、衣替えの目安などを考えるとき,地震予測をするため,インターネット回線速度を測るため,B,過去の平均値や記録から、季節の進み方の目安を把握できます。,,
秋,生活,気象庁の「レーダー・ナウキャスト」で、雨雲が自分の地域に近づいているかを見るとき、特に注目する動きは？,雨雲がどの方向からどのくらいの速さで動いているか,雨雲の形の美しさ,雨雲の数,雨雲の名前,A,雨雲の動きから、「あと何分くらいで降り出しそうか」をイメージできます。,,
秋,知識,気象の基礎として、「気温」が高いほど空気中に含むことができる水蒸気量はどうなるでしょう？,少なくなる,多くなる,変わらない,なくなる,B,暖かい空気ほど多くの水蒸気を含むことができ、これが雨雲の発達にも関係します。,,
秋,知識,「相対湿度」とはどのような値でしょう？,空気中の水蒸気量そのもの,その気温で空気が含める最大水蒸気量に対して、どれくらい含んでいるかの割合,海の水位,雨量の合計,B,パーセントで表され、同じ水蒸気量でも気温によって湿度の値が変わることがあります。,,
秋,知識,秋の天気で「露」ができやすいのは、どのようなときでしょう？,気温が高く、湿度が非常に低い夜,放射冷却で地面が冷え、空気中の水蒸気が飽和して水滴になるとき,強風で蒸発するとき,台風通過中,B,露点温度まで冷えると、水蒸気が水滴になって草や車の上などに付きます。,,
秋,知識,「露点温度」とは何を意味する温度でしょう？,雨が降り始める温度,空気中の水蒸気が飽和し、凝結し始める温度,風が止まる温度,雪になる温度,B,気温が露点温度まで下がると、霧や露、雲ができやすくなります。,,
秋,知識,秋の「霧」と「もや」の違いとして、気象観測上の区別に近いのは？,視程（見通せる距離）が1km未満なら「霧」、1km以上なら「もや」,色が違う,水ではなく油の粒かどうか,四季によって呼び方が変わる,A,観測上は視程で区別されます。,,
秋,防災,天気予報で「大気の状態が不安定」と言うとき、主にどのような現象が起こりやすくなりますか？,長く穏やかな晴れ,雷雨・にわか雨・突風など,雪だけ,霧だけ,B,上昇気流が強くなり、積乱雲が発達しやすくなります。,,
秋,知識,「気圧」が下がるときによくある天気の変化として近いのは？,晴れてからっとする,雨や風が強まりやすい,雪が必ず降る,台風が消える,B,一般に低気圧に向かうときは雲が増え、雨や風が強まりやすくなります。,,
秋,知識,気象庁の「気象衛星画像」で、秋の雲の分布を見ることができます。白くぼんやりした帯状の雲が本州付近にのびているとき、何を疑うでしょう？,梅雨前線,秋雨前線や気圧の谷,火山灰,地震雲,B,前線や気圧の谷に沿って雲が帯状に広がることがあります。,,
秋,知識,気象衛星の「水蒸気画像」は何を見るためのものに近いでしょう？,地面の色,雲の下の地形,上空の水蒸気の分布や流れ,海の温泉の位置,C,台風や寒気の動きなど、大気の流れを把握するのに役立ちます。,,
秋,知識,気象庁の「高層天気図」は、主に何m付近の気圧配置や風を見ているでしょう？（代表例）,地上0m,"約1,500mや約5,500m付近",地球の外,海底,B,上空の風や気温の状態を把握し、気圧配置の変化や寒気の強さを読むのに使います。,,
秋,防災,秋の強風注意報が出たとき、特に気をつけたい生活シーンとして適切なのは？,室内の電気の使い方,洗濯物やベランダの物が飛ばされないか、外出時の帽子や傘の扱い,パソコンの設定,エレベーターのボタン,B,強風で物が飛ばされると危険なので、固定や取り込みが大切です。,,
秋,知識,気象庁の「天気予報用語」で、秋に出やすい「晴れのち曇り」は、どんな一日の変化でしょう？,朝〜昼は晴れ、次第に雲が多くなる傾向,一日中曇り,一日中雨,朝だけ雷,A,前後どちらの天気が先か、用語で読み取ることができます。,,
秋,生活,気象庁が発表する「季節予報（3か月予報など）」を秋に見るメリットとして近いのは？,正確な日付ごとの天気がわかる,おおまかな気温・降水量の傾向を知り、暖房準備や衣替えの計画に役立てられる,地震の日時がわかる,台風の本数が1本単位でわかる,B,あくまで「傾向」を見る情報です。,,
秋,防災,気象庁の「土砂災害警戒情報」は、どのようなときに特に重要でしょう？,乾燥しているとき,大雨が続き、山や斜面が多い地域での災害リスクが高まっているとき,真冬の豪雪のときだけ,地震のとき,B,避難判断の重要な材料となる情報です。,,
秋,防災,気象庁の「洪水警報」が出たとき、特に注意すべき場所として正しいのは？,山頂の岩場,川沿いの低地・堤防付近・地下空間,高層ビルの屋上,乾いた砂漠,B,川の増水・氾濫のおそれがあり、早めの避難検討が必要です。,,
秋,知識,気象庁の「風向・風速」の表示で、北風（N）と表示されているときは、風はどの方向から吹いているでしょう？,北から南へ,南から北へ,東から西へ,西から東へ,A,風向は「どの方向から吹いてくるか」で表します。,,
秋,防災,秋の日本列島付近で「偏西風」が強まると、台風はどのような動きになりやすいでしょう？（ざっくり）,南へゆっくり進む,東〜北東方向へカーブしながら加速して進む,その場で停滞する,西へだけ進む,B,偏西風に乗って進路を大きく曲げ、日本付近を通過・接近することが増えます。,,
秋,生活,気象庁の天気予報で「平年よりかなり高い」といった表現が出るとき、秋の体感として近いのは？,まるで真夏のような暑さの日が多くなる可能性,真冬並みの寒さ,ずっと雨,ずっと雪,A,秋なのに半袖でも暑い日が多くなるなど、季節感が遅れるイメージです。,,
秋,知識,気象庁の「天気分布予報（メッシュ予報）」では何がわかりやすくなっているでしょう？,非常に細かい地域ごとの天気や気温の分布,国ごとの人口,地震の震源地,火山の名前,A,細かい格子状（メッシュ）で予報され、地域ごとの差を視覚的に確認できます。,,
秋,生活,気象庁が出す「気象情報」で、『強い寒気が南下し、秋から冬への季節の進みが加速する見込み』といった文が出たとき、生活面で意識したいのは？,扇風機の準備,コート・暖房器具の準備や体調管理,海水浴セットの用意,かき氷機の準備,B,急な冷え込みに備える合図としてとらえると便利です。,,
秋,知識,気象庁の天気予報で「北日本」「東日本」「西日本」という区分がありますが、これを見るメリットとして正しいのは？,どの地方がどの国に属するかわかる,広い範囲の気温・降水傾向をざっくり掴める,市区町村名がわかる,海岸線の長さがわかる,B,自分の住んでいる地域が、全国の中でどんな傾向にあるかを知る手がかりになります。,,
秋,防災,秋に発表される「乾燥注意報」を見るとき、特に意識したいのはどれでしょう？,日焼け対策だけ,火の取り扱い（ストーブ・たき火・タバコなど）,雪かき,海水浴の時間,B,空気が乾燥すると火災が起こりやすく、広がりやすくなるため注意が必要です。,,
秋,生活,気象庁の各種情報を使って、「秋の1日のおおまかな過ごし方」を計画するとき、最も賢い使い方に近いのは？,きょうの天気予報だけ見て、あとは運任せ,週間予報で日程を決め、直前にレーダー・ナウキャストや注意報・警報を再確認する,台風情報だけ見て判断する,運勢占いだけを見る,B,長期の傾向と直前の詳しい情報を組み合わせることで、秋の天候の変わりやすさに上手に対応できます。,,
